title,location,department,job_id,url,scraped_at
"Sr SDM, Marketing Tech, Shopbop & Zappos","New York, NY, USA",,3140104,https://www.amazon.jobs/en/jobs/3140104/sr-sdm-marketing-tech-shopbop-zappos,2025-12-09 22:17:58
"Sr. Applied Scientist, Amazon Ads","New York, NY, USA",,3139328,https://www.amazon.jobs/en/jobs/3139328/sr-applied-scientist-amazon-ads,2025-12-09 22:17:58
"Software Development Manager, Schema GenAI Services, Product Knowledge","New York, NY, USA",,3139871,https://www.amazon.jobs/en/jobs/3139871/software-development-manager-schema-genai-services-product-knowledge,2025-12-09 22:17:58
"Principal Product Manager - Tech, Agentic Future of Work","New York, NY, USA",,3128597,https://www.amazon.jobs/en/jobs/3128597/principal-product-manager-tech-agentic-future-of-work,2025-12-09 22:17:58
"Principal Product Manager - Tech, Sponsored Ads","New York, NY, USA",,3056645,https://www.amazon.jobs/en/jobs/3056645/principal-product-manager-tech-sponsored-ads,2025-12-09 22:17:58
"Sr. Applied Scientist, Amazon Ads","New York, NY, USA",,3077522,https://www.amazon.jobs/en/jobs/3077522/sr-applied-scientist-amazon-ads,2025-12-09 22:17:59
"Applied Scientist II, Sponsored Products Autonomous Campaigns","New York, NY, USA",,3139270,https://www.amazon.jobs/en/jobs/3139270/applied-scientist-ii-sponsored-products-autonomous-campaigns,2025-12-09 22:17:59
"Applied Scientist, Ads Measurement Science","New York, NY, USA",,3139231,https://www.amazon.jobs/en/jobs/3139231/applied-scientist-ads-measurement-science,2025-12-09 22:17:59
"Senior Data Scientist, Global Transformation + Insights, GREF – Global Transformation & Insights (GTI)","New York, NY, USA",,3139174,https://www.amazon.jobs/en/jobs/3139174/senior-data-scientist-global-transformation-insights-gref-global-transformation-insights-gti,2025-12-09 22:17:59
"Senior Delivery Consultant - DevOps , Professional Services","New York, NY, USA",,3062197,https://www.amazon.jobs/en/jobs/3062197/senior-delivery-consultant-devops-professional-services,2025-12-09 22:17:59
"Sr. Manager Research Science, WW Sustainability","New York, NY, USA",,3071364,https://www.amazon.jobs/en/jobs/3071364/sr-manager-research-science-ww-sustainability,2025-12-09 22:18:05
"Applied Scientist, AGI","New York, NY, USA",,3139033,https://www.amazon.jobs/en/jobs/3139033/applied-scientist-agi,2025-12-09 22:18:05
"Sr. Product Manager Technical, Deal Tooling & Insights, Strategic Customer Engagements","New York, NY, USA",,3138889,https://www.amazon.jobs/en/jobs/3138889/sr-product-manager-technical-deal-tooling-insights-strategic-customer-engagements,2025-12-09 22:18:05
"Senior Product Manager, Ads","New York, NY, USA",,3137569,https://www.amazon.jobs/en/jobs/3137569/senior-product-manager-ads,2025-12-09 22:18:05
"Senior Product Manager, Ads","New York, NY, USA",,3137568,https://www.amazon.jobs/en/jobs/3137568/senior-product-manager-ads,2025-12-09 22:18:05
"Sr. Delivery Consultant - AI/ML, AWS Professional Services","New York, NY, USA",,3112691,https://www.amazon.jobs/en/jobs/3112691/sr-delivery-consultant-ai-ml-aws-professional-services,2025-12-09 22:18:05
"Applied Scientist, Model Customization, Generative AI Innovation Center, Model Customization","New York, NY, USA",,3114503,https://www.amazon.jobs/en/jobs/3114503/applied-scientist-model-customization-generative-ai-innovation-center-model-customization,2025-12-09 22:18:06
"Applied Scientist, Prime Video - Generative AI","New York, NY, USA",,3122741,https://www.amazon.jobs/en/jobs/3122741/applied-scientist-prime-video-generative-ai,2025-12-09 22:18:06
"Principal Applied Scientist, Amazon - Sponsored Products","New York, NY, USA",,3094885,https://www.amazon.jobs/en/jobs/3094885/principal-applied-scientist-amazon-sponsored-products,2025-12-09 22:18:06
"Actuarial Manager Analyst, Amazon One Medical Actuary, Amazon One Medical Actuary","New York, NY, USA",,3102759,https://www.amazon.jobs/en/jobs/3102759/actuarial-manager-analyst-amazon-one-medical-actuary-amazon-one-medical-actuary,2025-12-09 22:18:06
"Sr Product Manager - Tech, FaST (Fashion Subsidiary Tech)","New York, NY, USA",,3124063,https://www.amazon.jobs/en/jobs/3124063/sr-product-manager-tech-fast-fashion-subsidiary-tech,2025-12-09 22:18:11
Software Engineer I- Ad Demand,"New York, NY, USA",,3082168,https://www.amazon.jobs/en/jobs/3082168/software-engineer-i-ad-demand,2025-12-09 22:18:12
"Principal Product Manager-Technical, Amazon Ads - Audio Advertising","New York, NY, USA",,3138378,https://www.amazon.jobs/en/jobs/3138378/principal-product-manager-technical-amazon-ads-audio-advertising,2025-12-09 22:18:12
"Senior Delivery Consultant- GenAI/ML Scientist, AWS, Industries","New York, NY, USA",,3076354,https://www.amazon.jobs/en/jobs/3076354/senior-delivery-consultant-genai-ml-scientist-aws-industries,2025-12-09 22:18:12
"Software Development Engineer, iOS, Zappos Discovery Tech - Mobile","New York, NY, USA",,3049582,https://www.amazon.jobs/en/jobs/3049582/software-development-engineer-ios-zappos-discovery-tech-mobile,2025-12-09 22:18:12
"Sr. Applied Scientist, Amazon Business Ads","New York, NY, USA",,3129612,https://www.amazon.jobs/en/jobs/3129612/sr-applied-scientist-amazon-business-ads,2025-12-09 22:18:12
"Sr. Technical Program Manager, Device Advertising, Multi Publisher Network (MPN)","New York, NY, USA",,3138199,https://www.amazon.jobs/en/jobs/3138199/sr-technical-program-manager-device-advertising-multi-publisher-network-mpn,2025-12-09 22:18:12
"Sr Manager, PMT - AdCX & Supply Optimization, Prime Video Advertising","New York, NY, USA",,3138005,https://www.amazon.jobs/en/jobs/3138005/sr-manager-pmt-adcx-supply-optimization-prime-video-advertising,2025-12-09 22:18:12
"Software Development Manager, Prime Video Ads, Prime Video Ads","New York, NY, USA",,3137951,https://www.amazon.jobs/en/jobs/3137951/software-development-manager-prime-video-ads-prime-video-ads,2025-12-09 22:18:12
"Sr. Product Manager-Technical, Prime VIdeo Advertising - Supply Enablement","New York, NY, USA",,3128135,https://www.amazon.jobs/en/jobs/3128135/sr-product-manager-technical-prime-video-advertising-supply-enablement,2025-12-09 22:18:12
"Delivery Consultant- GenAI/ML, AWS, Industries","New York, NY, USA",,3119296,https://www.amazon.jobs/en/jobs/3119296/delivery-consultant-genai-ml-aws-industries,2025-12-09 22:18:18
"Applied Scientist, Model Customization, Generative AI Innovation Center, Model Customization","New York, NY, USA",,3137793,https://www.amazon.jobs/en/jobs/3137793/applied-scientist-model-customization-generative-ai-innovation-center-model-customization,2025-12-09 22:18:18
"Software Dev Engineer II, Amazon Advertising","New York, NY, USA",,3134693,https://www.amazon.jobs/en/jobs/3134693/software-dev-engineer-ii-amazon-advertising,2025-12-09 22:18:18
"Principal Applied Scientist, AWS Agentic AI Science","New York, NY, USA",,3132887,https://www.amazon.jobs/en/jobs/3132887/principal-applied-scientist-aws-agentic-ai-science,2025-12-09 22:18:19
"Senior Delivery Consultant - Senior Machine Learning Engineer, AWS Professional Services, AWS Professional Services","New York, NY, USA",,3017261,https://www.amazon.jobs/en/jobs/3017261/senior-delivery-consultant-senior-machine-learning-engineer-aws-professional-services-aws-professional-services,2025-12-09 22:18:19
"Sr. Manager, Applied Science, Supply Chain Optimization Technologies","New York, NY, USA",,3137353,https://www.amazon.jobs/en/jobs/3137353/sr-manager-applied-science-supply-chain-optimization-technologies,2025-12-09 22:18:19
"Sr Software Dev Engineer, Amazon Advertising","New York, NY, USA",,3137084,https://www.amazon.jobs/en/jobs/3137084/sr-software-dev-engineer-amazon-advertising,2025-12-09 22:18:19
"Senior Principal Engineer, Last Mile Delivery & Technology","New York, NY, USA",,2908461,https://www.amazon.jobs/en/jobs/2908461/senior-principal-engineer-last-mile-delivery-technology,2025-12-09 22:18:19
"Sr. Applied Scientist, Sponsored Products and Brands Off-Search","New York, NY, USA",,3136934,https://www.amazon.jobs/en/jobs/3136934/sr-applied-scientist-sponsored-products-and-brands-off-search,2025-12-09 22:18:19
"Sr AI Language Engineer, Amazon Rufus","New York, NY, USA",,3111401,https://www.amazon.jobs/en/jobs/3111401/sr-ai-language-engineer-amazon-rufus,2025-12-09 22:18:19
"Sr. Applied Scientist, Sales AI","New York, NY, USA",,3020528,https://www.amazon.jobs/en/jobs/3020528/sr-applied-scientist-sales-ai,2025-12-09 22:18:25
Applied Scientist,"New York, NY, USA",,3106501,https://www.amazon.jobs/en/jobs/3106501/applied-scientist,2025-12-09 22:18:25
"Applied Scientist, Personalization, DTx Science","New York, NY, USA",,3136853,https://www.amazon.jobs/en/jobs/3136853/applied-scientist-personalization-dtx-science,2025-12-09 22:18:25
"Software Development Engineer, Sponsored Products and Brands","New York, NY, USA",,3136770,https://www.amazon.jobs/en/jobs/3136770/software-development-engineer-sponsored-products-and-brands,2025-12-09 22:18:25
"Software Development Manager, Media Planning Applications","New York, NY, USA",,3134748,https://www.amazon.jobs/en/jobs/3134748/software-development-manager-media-planning-applications,2025-12-09 22:18:25
"Sr. Software Development Manager, Generative AI for AWS Neuron","New York, NY, USA",,3024624,https://www.amazon.jobs/en/jobs/3024624/sr-software-development-manager-generative-ai-for-aws-neuron,2025-12-09 22:18:25
"Senior Delivery Consultant- GenAI/ML, AWS, Industries","New York, NY, USA",,3018727,https://www.amazon.jobs/en/jobs/3018727/senior-delivery-consultant-genai-ml-aws-industries,2025-12-09 22:18:25
"Senior Delivery Consultant- GenAI/ML, AWS, Industries","New York, NY, USA",,3119299,https://www.amazon.jobs/en/jobs/3119299/senior-delivery-consultant-genai-ml-aws-industries,2025-12-09 22:18:25
"Software Development Engineer II - Threat Intelligence Systems, ACTI Engineering","New York, NY, USA",,3136175,https://www.amazon.jobs/en/jobs/3136175/software-development-engineer-ii-threat-intelligence-systems-acti-engineering,2025-12-09 22:18:25
"Sr. Applied Scientist, Sponsored Products","New York, NY, USA",,3136156,https://www.amazon.jobs/en/jobs/3136156/sr-applied-scientist-sponsored-products,2025-12-09 22:18:26
"Software Development Engineer, Sponsored Products, Native Commerce Ads","New York, NY, USA",,3136040,https://www.amazon.jobs/en/jobs/3136040/software-development-engineer-sponsored-products-native-commerce-ads,2025-12-09 22:18:32
"Sr. Applied Scientist, SPB Advertiser Guidance","New York, NY, USA",,3132336,https://www.amazon.jobs/en/jobs/3132336/sr-applied-scientist-spb-advertiser-guidance,2025-12-09 22:18:32
"Software Development Engineer, Communications and Corporate Responsibility","New York, NY, USA",,3132541,https://www.amazon.jobs/en/jobs/3132541/software-development-engineer-communications-and-corporate-responsibility,2025-12-09 22:18:32
"SAP Technical Program Manager (FICO implementaton experience required), Project Kuiper","New York, NY, USA",,2948115,https://www.amazon.jobs/en/jobs/2948115/sap-technical-program-manager-fico-implementaton-experience-required-project-kuiper,2025-12-09 22:18:32
"Senior Applied Scientist, Sponsored Products and Brands, Off-Search","New York, NY, USA",,3134662,https://www.amazon.jobs/en/jobs/3134662/senior-applied-scientist-sponsored-products-and-brands-off-search,2025-12-09 22:18:32
"Software Development Manager, Front End Engineering, Zappos Tech","New York, NY, USA",,3086855,https://www.amazon.jobs/en/jobs/3086855/software-development-manager-front-end-engineering-zappos-tech,2025-12-09 22:18:32
"Zappos Data Scientist III, Zappos/Shopbop Catalog Engineering","New York, NY, USA",,3124684,https://www.amazon.jobs/en/jobs/3124684/zappos-data-scientist-iii-zappos-shopbop-catalog-engineering,2025-12-09 22:18:32
"Principal TPM, Zappos & Shopbop","New York, NY, USA",,3083381,https://www.amazon.jobs/en/jobs/3083381/principal-tpm-zappos-shopbop,2025-12-09 22:18:32
"Sr. Technical Program Manager, Zappos/Shopbop Catalog Engineering","New York, NY, USA",,3031030,https://www.amazon.jobs/en/jobs/3031030/sr-technical-program-manager-zappos-shopbop-catalog-engineering,2025-12-09 22:18:32
"Applied Scientist, Sponsored Products Off-Search Relevance","New York, NY, USA",,3134560,https://www.amazon.jobs/en/jobs/3134560/applied-scientist-sponsored-products-off-search-relevance,2025-12-09 22:18:32
"Principal Product Manager - Tech, Amazon Connect","New York, NY, USA",,3117470,https://www.amazon.jobs/en/jobs/3117470/principal-product-manager-tech-amazon-connect,2025-12-09 22:18:38
"Senior Software Development Engineer, SPB Advertiser Guidance","New York, NY, USA",,3134511,https://www.amazon.jobs/en/jobs/3134511/senior-software-development-engineer-spb-advertiser-guidance,2025-12-09 22:18:38
"Sr. Applied Scientist, Prime Video - Personalization and Discovery Science","New York, NY, USA",,3134486,https://www.amazon.jobs/en/jobs/3134486/sr-applied-scientist-prime-video-personalization-and-discovery-science,2025-12-09 22:18:38
"Sr. Applied Scientist, Sponsored Product Off-Search","New York, NY, USA",,3120815,https://www.amazon.jobs/en/jobs/3120815/sr-applied-scientist-sponsored-product-off-search,2025-12-09 22:18:38
"Sr Manager, Product Mgr Tech, Denied Party Screening, AWS Compliance & Security Assurance","New York, NY, USA",,3100121,https://www.amazon.jobs/en/jobs/3100121/sr-manager-product-mgr-tech-denied-party-screening-aws-compliance-security-assurance,2025-12-09 22:18:38
"Senior Applied Scientist, Agentic AI Professional Services Experience","New York, NY, USA",,3018429,https://www.amazon.jobs/en/jobs/3018429/senior-applied-scientist-agentic-ai-professional-services-experience,2025-12-09 22:18:38
"Principal Applied Scientist, Sponsored Products and Brands","New York, NY, USA",,3130855,https://www.amazon.jobs/en/jobs/3130855/principal-applied-scientist-sponsored-products-and-brands,2025-12-09 22:18:39
"Principal Technical Program Manager, Sponsored Products and Brands","New York, NY, USA",,3127579,https://www.amazon.jobs/en/jobs/3127579/principal-technical-program-manager-sponsored-products-and-brands,2025-12-09 22:18:39
"Software Development Engineer, ML Systems, Annapurna Labs","New York, NY, USA",,3062273,https://www.amazon.jobs/en/jobs/3062273/software-development-engineer-ml-systems-annapurna-labs,2025-12-09 22:18:39
"Sr Front End Engineer, Applied AI Solutions","New York, NY, USA",,3128531,https://www.amazon.jobs/en/jobs/3128531/sr-front-end-engineer-applied-ai-solutions,2025-12-09 22:18:39
"Sr Front End Engineer, Applied AI Solutions","New York, NY, USA",,3059861,https://www.amazon.jobs/en/jobs/3059861/sr-front-end-engineer-applied-ai-solutions,2025-12-09 22:18:45
"Applied Scientist, AWS Agentic AI","New York, NY, USA",,2969042,https://www.amazon.jobs/en/jobs/2969042/applied-scientist-aws-agentic-ai,2025-12-09 22:18:45
"Applied Scientist II, Creative X - RAPID","New York, NY, USA",,3132547,https://www.amazon.jobs/en/jobs/3132547/applied-scientist-ii-creative-x-rapid,2025-12-09 22:18:45
"Senior Applied Scientist, Artificial General Intelligence","New York, NY, USA",,3131971,https://www.amazon.jobs/en/jobs/3131971/senior-applied-scientist-artificial-general-intelligence,2025-12-09 22:18:45
