title,location,department,job_id,url,scraped_at
"ML Data Operations Lead, Wallet, Payment & Commerce",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200635900-2459/ml-data-operations-lead-wallet-payment-commerce?team=SFTWR,2025-12-09 22:46:38
"Senior Staff Machine Learning Engineer – Ads Prediction, Signals & Quality",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200620203-2459/senior-staff-machine-learning-engineer-ads-prediction-signals-quality?team=SFTWR,2025-12-09 22:46:38
Senior Machine Learning Engineer – Ads Predictions,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200620207-2459/senior-machine-learning-engineer-ads-predictions?team=SFTWR,2025-12-09 22:46:39
Senior Machine Learning Engineer – Ads Predictions,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200632929-2459/senior-machine-learning-engineer-ads-predictions?team=SFTWR,2025-12-09 22:46:39
Senior / Staff Backend Software Engineer,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200635115-2459/senior-staff-backend-software-engineer?team=SFTWR,2025-12-09 22:46:39
Technical Product Manager - Partner Onboarding and Business,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200634923-2459/technical-product-manager-partner-onboarding-and-business?team=SFTWR,2025-12-09 22:46:39
Staff Software Engineer - Machine Learning,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200618202-2459/staff-software-engineer-machine-learning?team=SFTWR,2025-12-09 22:46:39
Senior Machine Learning Engineering Manager – Ads Predictions,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200602025-2459/senior-machine-learning-engineering-manager-ads-predictions?team=SFTWR,2025-12-09 22:46:39
ML Data Scientist Manager - Ads Portfolio R&D,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200622986-2459/ml-data-scientist-manager-ads-portfolio-r-d?team=SFTWR,2025-12-09 22:46:39
"Executive Producer, Audio - Apple News",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200632666-2459/executive-producer-audio-apple-news?team=SFTWR,2025-12-09 22:46:39
"Worldwide Marketing Lead for Strategic Accounts, Apple Ads",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200633811-2459/worldwide-marketing-lead-for-strategic-accounts-apple-ads?team=SFTWR,2025-12-09 22:46:39
"AIML - Machine Learning Research Scientist, Data and ML Innovation",New York City,Machine Learning and AI,,https://jobs.apple.com/en-us/details/200633159-2459/aiml-machine-learning-research-scientist-data-and-ml-innovation?team=MLAI,2025-12-09 22:46:39
"ML Engineering Program Manager (EPM), Apple Ads",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200633320-2459/ml-engineering-program-manager-epm-apple-ads?team=SFTWR,2025-12-09 22:46:39
Software Engineer,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200632131-2459/software-engineer?team=SFTWR,2025-12-09 22:46:39
AIML Resident - Health,New York City,Machine Learning and AI,,https://jobs.apple.com/en-us/details/200630790-2459/aiml-resident-health?team=MLAI,2025-12-09 22:46:39
"Copy and Standards Editor, Apple News",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200631631-2459/copy-and-standards-editor-apple-news?team=SFTWR,2025-12-09 22:46:39
Senior Machine Learning Engineer – Ads Predictions,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200601298-2459/senior-machine-learning-engineer-ads-predictions?team=SFTWR,2025-12-09 22:46:40
Senior Backend Software Engineer - Apple TV Sports,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200629524-2459/senior-backend-software-engineer-apple-tv-sports?team=SFTWR,2025-12-09 22:46:40
"Senior Engineering Leader, Apple Ads",New York City,Software and Services,,https://jobs.apple.com/en-us/details/200631377-2459/senior-engineering-leader-apple-ads?team=SFTWR,2025-12-09 22:46:40
Product Manager - App Ads,New York City,Software and Services,,https://jobs.apple.com/en-us/details/200624802-2459/product-manager-app-ads?team=SFTWR,2025-12-09 22:46:40
